# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-03-08 at 08:36:35
#
# Requested input R.A. = 250.9508333 degrees
# Requested input Dec. = 41.0453611 degrees
# Requested JD start = 2458324.22 days
# Requested JD end = 2458474.22 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 723 11 2 ZTF_r 570187024215 0 1.9588 149.795 14.4589 26.0887 5.6008e-06 0.0305566 0.113352 1.04898e-05 996 30. 0.041228 0.049509 19.4073 26.0887 2 2458324.6870255 723120242 32.0158860019396 70.4408678443508 0.50558668515782 0.978997280832953 -122.464928159409 126.160394044335 -0.9772459687566 1.06269638075429 0.691536395423417 19.4069999694824 0.0640000030398369 3.93700003623962 0.244000002741814 2458155.059236 2458219.001817 0
 1 723 11 2 ZTF_r 570200084215 0 2.169 128.4 17.1655 25.9143 7.7557e-06 0.0355729 0.111331 1.44534e-05 972 30. 0.042608 0.052627 19.0565 25.9143 2 2458324.700081 723120242 103.593957243409 75.7307493724001 1.52165770721656 0.917953907780539 256.511731987111 138.1008246992 1.86993346218533 1.05574136103531 0.691536395423417 19.4069999694824 0.0640000030398369 3.93700003623962 0.244000002741814 2458155.059236 2458219.001817 0
 2 723 11 2 ZTF_r 570214834215 0 2.0892 116.389 17.6812 25.8132 1.49435e-05 0.0491519 0.108911 2.81782e-05 956 30. 0.043209 0.049328 18.9143 25.8132 2 2458324.714838 723120242 95.3922042201845 79.7821655074395 1.33003131122118 0.973358416832221 178.693085358742 147.344041129096 1.22092886954354 1.05156632138742 0.691536395423417 19.4069999694824 0.0640000030398369 3.93700003623962 0.244000002741814 2458155.059236 2458219.001817 0
 3 723 11 2 ZTF_g 570257514215 0 2.2968 132.366 12.4986 26.2502 9.4975e-06 0.0359814 -0.0114888 2.22726e-05 842 30. 0.046309 0.05245 19.665 26.2502 2 2458324.7575116 723120142 -21.248623694194 63.724355911109 -0.370919915273571 1.05737582863339 -113.638911757486 105.412202022952 -1.08530392279888 1.09064357405811 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 4 723 11 2 ZTF_g 570289184215 0 2.2873 128.738 12.8095 26.2181 1.02137e-05 0.0370029 -0.00547879 2.39818e-05 816 30. 0.045108 0.05359 19.5468 26.2181 2 2458324.7891898 723120142 117.402445688003 67.1237626645155 1.94560938288444 1.00733255538094 217.011413447754 110.368379784761 1.97948903688828 1.08076856696402 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 5 723 11 2 ZTF_g 570296464215 0 2.2407 128.35 12.9097 26.2232 8.7512e-06 0.0339741 -0.00563035 2.08154e-05 815 30. 0.044556 0.053004 19.5725 26.2232 2 2458324.7964699 723120142 -11.1742726352816 66.9693564300346 -0.185608533318339 0.909091669734137 -57.336177525515 111.363187952132 -0.51832513994474 1.08045628352004 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 6 723 11 2 ZTF_g 571180124215 0 2.6121 126.391 14.7302 26.1837 1.5143e-05 0.0421675 0.000480442 3.67299e-05 710 30. 0.050551 0.06089 19.2987 26.1837 2 2458325.6801273 723120142 -86.7044654611338 74.0791723874811 -1.30196750312933 1.13612946102429 -228.935364494357 112.768570622381 -2.04380756157478 1.13651158540509 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 7 723 11 2 ZTF_g 571202454215 0 2.0163 132.148 13.1811 26.242 1.08145e-05 0.0388151 -0.00798211 2.46957e-05 835 30. 0.042411 0.052342 19.6901 26.242 2 2458325.7024537 723120142 -1.99531668885208 64.3543715577143 -0.0344896337431756 0.906469454333986 -43.852485559403 109.554231404123 -0.402976991457703 1.09335866956319 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 8 723 11 2 ZTF_g 571203404215 0 2.1178 130.109 13.1214 26.2507 8.8744e-06 0.0354593 -0.01668 2.02635e-05 849 30. 0.042867 0.051279 19.7063 26.2507 1 2458325.7034028 723120142 34.6851261905991 60.7213142705314 0.635414201361995 0.9878940025103 17.6175227453126 105.370052188387 0.168322757807077 1.08527420128208 0.574437812934943 19.4729997634888 0.0659999996423721 4.375 0.180999994277954 2458203.999873 2458207.001493 0
 9 723 11 2 ZTF_r 571222304215 0 1.6965 182.174 12.3143 26.2952 3.7202e-06 0.0248689 0.111286 6.81163e-06 991 30. 0.04484 0.053077 19.888 26.2952 2 2458325.7223032 723120242 39.2309651916111 49.7808222048857 0.876640899802176 0.962812094360913 196.924067323995 95.2745878898306 2.08083148548147 1.04641834884579 0.691536395423417 19.4069999694824 0.0640000030398369 3.93700003623962 0.244000002741814 2458155.059236 2458219.001817 0
 10 723 11 2 ZTF_r 571223254215 0 1.7476 182.423 12.2899 26.2994 3.4482e-06 0.024074 0.107689 6.33189e-06 992 30. 0.047295 0.052948 19.8608 26.2994 1 2458325.7232523 723120242 -39.2209292338354 49.4300705776596 -0.882635618766668 1.16127577194514 -64.1656719517394 93.3677701351178 -0.691864348378646 1.0473940175842 0.691536395423417 19.4069999694824 0.0640000030398369 3.93700003623962 0.244000002741814 2458155.059236 2458219.001817 0
