# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-03-07 at 06:49:38
#
# Requested input R.A. = 264.19475 degrees
# Requested input Dec. = 50.5478056 degrees
# Requested JD start = 2458533.16 days
# Requested JD end = 2458683.16 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 763 14 2 ZTF_r 784510175415 0 2.1339 114.128 12.7149 25.6622 7.6462e-06 0.037394 0.101041 1.42185e-05 1152 30. 0.04252 0.059733 19.2066 25.6622 1 2458539.0101736 763120254 -30.2391343082828 56.8630866226988 -0.591553086677968 1.03001353716791 -4.89141842386787 102.430152028034 -0.0480753207027574 1.08056185446426 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 1 763 14 2 ZTF_g 784531935415 0 2.2068 85.1083 9.67657 25.9782 9.4596e-06 0.0381272 -0.0279939 2.13125e-05 993 30. 0.040415 0.058481 19.684 25.9782 1 2458539.0319329 763120154 58.2939376944118 48.3941572904998 1.33993972213923 0.92140280632567 142.325829010401 81.6068949144295 1.75578793688613 1.09320327271531 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 2 763 14 2 ZTF_i 784557085415 0 1.7364 152.016 9.43206 25.2354 2.3781e-06 0.0311726 0.185241 1.50724e-05 1177 30. 0.045784 0.06013 19.0937 25.2354 2 2458539.0570833 763120354 42.1112296909296 41.8460030310718 1.11943464179578 1.05523468220026 153.0039749398 78.0513223676433 1.97350231670059 1.05870699548849 0.309106276483805 18.5229999160767 0.0670000016689301 3.81200003623962 0.372999995946884 2458227.891019 2458379.635255 0
 3 763 14 2 ZTF_g 785470785415 33554480 1.8808 4.69104 13.8948 22.8159 0.0186652 0.0702566 -0.228272 0.0641337 16 30. 0.045023 0.079032 16.1614 22.8159 2 2458539.970787 763120154 -16.723504096121 64.292247931146 -0.289349989652173 1.0188448962746 23.8565295334423 116.731445149636 0.205747513890932 1.09583915595173 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 4 763 14 2 ZTF_g 785485025415 33554432 1.923 21.8234 11.4344 24.5098 0.000110188 0.0676024 -0.0548442 0.000346263 400 30. 0.042192 0.061981 18.0971 24.5098 2 2458539.9850231 763120154 33.4036950479825 55.01816825973 0.675372206424839 0.996830050574781 27.7863994174003 98.5294923179777 0.283910347633653 1.0804054524458 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 5 763 14 2 ZTF_r 785508765415 33554480 2.1056 6.51868 17.9964 22.79 0.0013405 0.0731444 0.0876711 0.00319626 45 30. 0.047735 0.077561 15.8711 22.79 2 2458540.0087616 763120254 39.3445047718631 89.7147161220583 0.487837517572029 0.993057594143188 266.71089865754 158.642832283352 1.69252658970186 1.09022489823828 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 6 763 14 2 ZTF_r 785530315415 33554432 2.2112 60.288 14.5055 24.9523 1.57938e-05 0.0435628 0.107157 3.25223e-05 788 30. 0.042184 0.059794 18.2482 24.9523 2 2458540.0303125 763120254 4.42831110194386 68.4547193296813 0.0719597309162842 1.06876996701314 40.9210112759702 121.235620028186 0.33980621068068 1.07597159793239 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 7 763 14 2 ZTF_g 786453435415 0 1.7546 103.704 6.28713 26.2009 3.892e-06 0.0271078 -0.0575982 7.27193e-06 1193 30. 0.047237 0.0518 20.4936 26.2009 2 2458540.9534375 763120154 34.5495872638424 24.9005465527685 1.54343656571819 1.03559369346064 79.4187089507641 48.2481220025236 1.65713389882229 1.04592238710292 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 8 763 14 2 ZTF_g 786475135415 0 1.8398 105.936 6.11947 26.2221 4.1377e-06 0.0279662 -0.0522616 7.73897e-06 1192 30. 0.044253 0.048439 20.5248 26.2221 2 2458540.9751389 763120154 67.5402288206369 25.8697838437792 2.90418667718422 1.00319777472423 102.328955047496 48.4511269624546 2.12622807570727 1.05962923173048 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
