,jd,mag,magerr,filter
11,2458757.9174653,20.497160129267222,0.20899532153000167,ZTF_g
12,2458757.9676273,19.986290484057232,0.11633626836179246,ZTF_r
13,2458759.9288773,17.960314149860814,0.019307025278201443,ZTF_g
14,2458760.0141667,18.03906557968111,0.021033706351167036,ZTF_r
15,2458763.9222338,18.47214266443826,0.032199489691437905,ZTF_g
16,2458764.0161921,18.14813875747078,0.022513998985233367,ZTF_r
17,2458766.9060995,18.89680818974648,0.07332680979668593,ZTF_g
18,2458767.0334722,18.643375525729144,0.04271208448170202,ZTF_r
19,2458767.9464352,19.167809733731016,0.12458460167103921,ZTF_g
20,2458767.9468866,19.208846596232434,0.12286351022279224,ZTF_g
21,2458769.9520949,18.83272012431386,0.07130649064070896,ZTF_r
22,2458770.0172222,19.3592254437213,0.13037342995934809,ZTF_g
23,2458770.9082292,19.577983435499544,0.14688662710663627,ZTF_r
24,2458770.9086806,19.274990359074675,0.15205229920394195,ZTF_r
25,2458771.9320718,19.37191774916552,0.16874368178840796,ZTF_r
26,2458771.9325116,19.42435613865596,0.1486049655355232,ZTF_r
27,2458775.9261458,20.26426761900376,0.2271300499195924,ZTF_g
29,2458776.9880556,20.380332332578156,0.20433382360313598,ZTF_r
30,2458778.9608681,19.75025850188373,0.15442349051811388,ZTF_r
31,2458779.0105671,20.929176652301038,0.3227845539684804,ZTF_g
34,2458785.9657176,21.249655781363703,0.32560739588639626,ZTF_g
35,2458785.9927894,20.7528538684284,0.2844987840941101,ZTF_r
61,2458836.99125,20.9277140403012,0.26299042222305474,ZTF_r
109,2458872.8271065,18.811428931228306,0.2002762246484387,ZTF_r
110,2458874.7799306,21.353467481360195,0.3858428979774243,ZTF_r
