# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-12-15 at 02:09:26
#
# Requested input R.A. = 196.6049583 degrees
# Requested input Dec. = 53.4793056 degrees
# Requested JD start = 2458771.45 days
# Requested JD end = 2458999.45 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 790 5 3 ZTF_g 1032528241915 8 5.3661 65.9046 7.46462 24.9667 0.000394737 0.0573205 -0.0196766 0.000829933 78 30. 0.128317 0.110279 18.0973 24.9667 1 2458787.0282407 790120119 -48.284340944657 67.2520136719624 -0.798648750243553 1.0484381700962 2.55516829627592 77.1295544343276 0.0333513854789992 1.32514270413959 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 1 790 5 3 ZTF_g 1035513241915 0 2.5697 159.499 6.2394 25.9308 3.64317e-05 0.0396356 -0.0632686 5.43814e-05 309 30. 0.081339 0.071223 19.9413 25.9308 1 2458790.0132407 790120119 12.730326252197 30.7280378202156 0.460849909222915 1.06753750292268 25.9566958902188 50.6520149778425 0.515902787715092 1.05729273623018 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 2 790 5 3 ZTF_r 1038514371915 0 2.1925 153.708 9.33144 26.0154 1.81603e-05 0.0280513 0.107658 2.51466e-05 326 30. 0.093794 0.062988 19.6983 26.0154 1 2458793.014375 790120219 37.225004245357 44.9334702865082 0.9215514692786 2.87541493338882 123.55478554191 79.9623890891829 1.55556800575979 1.05417365489115 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 3 790 5 3 ZTF_g 1038547391915 0 2.2345 173.369 10.11 25.9974 2.65143e-05 0.0328756 -0.0219805 4.10774e-05 287 30. 0.077036 0.066514 19.7011 25.9974 1 2458793.0473958 790120119 -28.3818484511872 42.9861084196115 -0.734458646717698 2.5145342201202 -98.7211516259459 74.7779234387809 -1.32908269836383 1.06726910895569 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 4 790 5 3 ZTF_r 1045491111915 0 1.9158 148.764 16.326 26.0247 3.03997e-05 0.0365043 0.136812 4.21341e-05 330 30. 0.081465 0.063944 19.1889 26.0247 1 2458799.9911111 790120219 -51.3030802209389 68.6564866364882 -0.831221305657211 1.09413848608267 101.023279823611 129.868981394485 0.783125241559084 1.04544094896124 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 5 791 8 2 ZTF_r 1046537033015 0 1.4723 195.982 13.0658 26.0745 1.71049e-05 0.0277898 0.107734 2.39879e-05 319 30. 0.075522 0.074965 19.6718 26.0745 1 2458801.037037 791120230 34.6589727823596 54.1194993902836 0.712388200368067 22.0197483336289 50.7802485583521 111.052145465874 0.460344608738237 1.03325486473417 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 6 791 8 2 ZTF_g 1046553773015 0 2.0811 235.424 16.6468 26.1161 4.7675e-05 0.0416057 -0.102814 8.99185e-05 229 30. 0.073502 0.059444 19.1962 26.1161 1 2458801.0537731 791120130 163.335728729103 76.6580249248 2.37016385044596 1.59058117816834 170.40144462628 146.252571068931 1.17296473426793 1.03386638766612 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 7 790 5 3 ZTF_g 1048549801915 0 2.1605 181.122 12.9935 26.0546 3.89052e-05 0.0386385 -0.0544154 6.38486e-05 262 30. 0.068172 0.063207 19.4468 26.0546 1 2458803.0498032 790120119 48.3744731739828 57.9301233675409 0.928894937689797 2.5800123240981 94.1475266553432 103.074818089687 0.919541915481874 1.05497244528618 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 8 791 8 2 ZTF_g 1050510063015 0 3.6041 221.532 10.4703 26.0423 6.93631e-05 0.0457528 -0.0370417 0.000130087 193 30. 0.09098 0.099415 19.1671 26.0423 1 2458805.0100694 791120130 -11.6047567958995 71.3908761849893 -0.180820694199068 1.31414460372012 98.8900290394167 96.1579175560655 1.03533917544106 1.0974634867195 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 9 791 8 2 ZTF_r 1050554293015 0 2.7358 196.753 10.8135 26.0824 2.96641e-05 0.0368762 0.120455 4.18026e-05 321 30. 0.085946 0.076043 19.41 26.0824 1 2458805.054294 791120230 -112.928225897112 61.8897164174732 -2.02973253787964 2.19494045947168 -102.435894190041 97.2107088015767 -1.06084820389026 1.06278273140609 1.39498396456066 18.9939998626709 0.128000006079674 6.86299991607666 0.952000021934509 2458182.874259 2458217.876111 0
 10 790 5 3 ZTF_g 1051532701915 0 2.4056 180.962 9.58091 26.0714 2.99617e-05 0.0354836 -0.0539645 4.72085e-05 287 30. 0.0735 0.066099 19.6521 26.0714 1 2458806.0327083 790120119 21.456079859343 45.0560604045659 0.529726821115841 1.66836257354054 -27.5952173794973 76.550220745487 -0.362913032590756 1.05452838810995 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 11 790 5 3 ZTF_r 1058556681915 0 2.3357 165.101 6.96125 26.0886 1.62848e-05 0.0270564 0.117474 2.31719e-05 328 30. 0.080816 0.061066 20.0365 26.0886 1 2458813.0566898 790120219 -21.7685737314094 34.60950702461 -0.699663733156926 2.10896871742752 9.46470171608273 59.4671157803348 0.160230522393054 1.05670464787493 1.43827787431767 19.0789999008179 0.103000000119209 6.44399976730347 0.714999973773956 2458182.872500 2458219.793958 0
 12 791 8 2 ZTF_g 1060510633015 0 3.3091 179.666 5.3236 25.8029 4.78102e-05 0.0435859 -0.0930314 8.00096e-05 257 30. 0.101987 0.075517 19.716 25.8029 1 2458815.0106366 791120130 -6.33219922561922 34.3693900982435 -0.204945103148889 1.81201443602195 1.06435102897484 49.4696054088709 0.0216601585061396 1.06829119397089 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 13 790 5 3 ZTF_g 1069518961915 0 2.4917 25.9433 6.47492 23.9367 0.000709133 0.0905982 -0.0861436 0.00156854 103 30. 0.091348 0.076945 17.9057 23.9367 1 2458824.0189699 790120119 11.069865581266 33.371378185678 0.368997144837735 0.953594772314694 19.524149860468 55.4810791460856 0.354276564832918 1.06140437732668 1.58443835828907 19.3519999504089 0.0920000001788139 6.3270001411438 0.432000011205673 2458166.937269 2458230.843148 0
 14 790 5 3 ZTF_i 1074522071915 0 3.0963 685.118 14.1037 26.8821 5.0896e-06 0.0240495 0.194986 1.89489e-05 329 90. 0.084316 0.069396 19.8003 26.8821 2 2458829.0220718 790120319 94.5219984801174 96.609954410951 1.08834307758978 1.60648340107148 83.6327122724231 140.620354701585 0.598746771618186 1.10696874336284 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 15 790 5 3 ZTF_i 1074523211915 0 2.844 686.76 13.995 26.8861 3.4049e-06 0.0196125 0.193533 1.29632e-05 329 90. 0.080523 0.073476 19.8804 26.8861 2 2458829.0232176 790120319 68.1720941261337 84.8727708875415 0.893496910175366 1.58739070288958 111.214685853924 132.240159723232 0.846669600189595 1.08168365184267 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 16 791 8 2 ZTF_i 1074524393015 0 2.4726 918.786 14.0605 26.8807 3.7766e-06 0.0207545 0.192677 1.35474e-05 322 90. 0.073768 0.065335 19.9738 26.8807 2 2458829.0243981 791120330 -22.9089112814747 81.9669971768439 -0.310899645074795 5.91464233715667 136.935716072203 137.037959818984 1.00598393452903 1.06646077237164 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 17 791 8 2 ZTF_g 1074557253015 0 2.0926 280.133 10.9853 26.2903 3.01868e-05 0.0363504 -0.0703519 4.63815e-05 300 30. 0.080476 0.05942 19.8301 26.2903 1 2458829.0572569 791120130 42.984395784344 52.7000530815554 0.907307654555675 6.90670551631964 39.1474383142497 95.2288042650616 0.413856908818711 1.04796624718998 1.32198578974045 19.276000213623 0.090999998152256 5.19399976730347 0.379000008106232 2458202.803009 2458204.893576 0
 18 790 5 3 ZTF_i 1075510421915 49 2.8005 144.607 61.7412 25.346 0.000166701 0.0558454 0.205834 0.000719822 68 90. 0.101689 0.122574 16.7742 25.346 2 2458830.0104282 790120319 -748.298478127768 303.943225881409 -2.73865417244926 1.05910810819971 -1045.3053553089 474.762321125906 -2.21657343093865 1.08115826103486 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 19 790 5 3 ZTF_i 1075511571915 49 2.7982 104.095 59.6936 24.8765 0.000274897 0.0567985 0.201142 0.00131717 46 90. 0.101431 0.121917 16.3466 24.8765 2 2458830.0115741 790120319 352.874541501452 322.535685595302 1.21701899216405 1.1493273065036 566.061069834485 502.572977219755 1.13391198798759 1.0986791368731 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 20 791 8 2 ZTF_i 1075515033015 49 2.1755 134.502 57.6206 24.838 0.000130472 0.0481483 0.216009 0.00050609 59 90. 0.101868 0.111437 16.5366 24.838 2 2458830.0150347 791120330 333.361551045361 276.358388244517 1.34183049635106 1.15100738351785 1123.96071151505 491.812563251758 2.30073555684028 1.06161477263922 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 21 791 8 2 ZTF_i 1075516183015 49 2.2426 102.723 55.3133 24.389 0.0018201 0.0835417 0.115333 0.00904832 22 90. 0.105827 0.131859 16.1019 24.389 2 2458830.0161806 791120330 187.860967609092 283.837602210582 0.736243420409824 1.01820175239904 -311.134241401899 492.188504456425 -0.636401999605319 1.08037188360989 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 22 790 5 3 ZTF_i 1076510491915 33554432 1.4414 688.252 14.1292 26.9093 5.4031e-06 0.0247843 0.192603 1.99337e-05 330 90. 0.070481 0.062222 20.3696 26.9093 2 2458831.0104977 790120319 31.4080932976008 58.0169200677073 0.602201320709923 26.4018171512703 -72.8861331980076 118.414995078325 -0.619659912581663 1.03411157305936 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 23 790 5 3 ZTF_i 1076511641915 0 1.4426 690.96 14.1111 26.8994 2.8289e-06 0.0178896 0.195214 1.06231e-05 330 90. 0.068779 0.070371 20.354 26.8994 2 2458831.0116435 790120319 16.8389710326177 55.5134986563183 0.337420723241041 9.06747840469976 -57.1442352917924 115.369774187929 -0.498649714877315 1.03137333672521 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 24 790 5 3 ZTF_i 1076512781915 0 1.5185 686.517 13.9742 26.8977 2.7918e-06 0.017806 0.190603 1.02848e-05 330 90. 0.066906 0.061637 20.335 26.8977 2 2458831.0127894 790120319 -42.6363550779194 58.6721245914022 -0.808356726695899 61.3763846851679 -129.496745074584 119.578623700638 -1.09023593907235 1.0336314486817 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
 25 791 8 2 ZTF_i 1076513963015 0 1.5678 916.612 13.9423 26.9264 4.9642e-06 0.0237745 0.188365 1.77878e-05 320 90. 0.063549 0.065894 20.3412 26.9264 2 2458831.0139699 791120330 -6.30086840424391 60.2248679866351 -0.116380268207137 250.571439265069 242.415275909343 121.130861942803 2.01474630680966 1.03125767602982 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 26 791 8 2 ZTF_i 1076515113015 0 1.3563 912.118 13.9109 26.8989 5.8569e-06 0.0260032 0.187483 2.06882e-05 323 90. 0.072969 0.084906 20.3819 26.8989 2 2458831.0151157 791120330 -65.6613410300129 55.5979152424785 -1.31372977243946 36.8491066909798 122.656359251219 114.131364610471 1.08193271244274 1.02812816251721 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 27 791 8 2 ZTF_i 1076516263015 0 1.3878 917.508 13.8171 26.9284 6.4217e-06 0.0270452 0.182639 2.29263e-05 321 90. 0.075595 0.08511 20.406 26.9284 2 2458831.0162616 791120330 -21.0617503557075 63.9941507729875 -0.366107799983701 57.363133458779 25.7510860352516 131.566098661852 0.197045601754263 1.02765976146338 1.52160765479947 19.0480000114441 0.136999994516373 6.38299989700317 0.64300000667572 2458232.824676 2458332.663958 0
 28 790 5 3 ZTF_i 1077518681915 0 2.2606 685.654 14.4794 26.8938 2.3897e-06 0.0165724 0.192074 8.63003e-06 330 90. 0.069964 0.053881 20.0203 26.8938 2 2458832.0186806 790120319 33.6680597380507 82.3474823926313 0.454802207669067 4.71020353554368 133.579950681957 143.94761649391 0.934226092871775 1.06021300893894 1.36380831862243 19.1299997901917 0.155000001192093 7.97399997711182 0.732999980449677 2458232.823229 2458547.925833 0
