# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-03-07 at 06:49:38
#
# Requested input R.A. = 185.7288333 degrees
# Requested input Dec. = 15.8236111 degrees
# Requested JD start = 2458812.48 days
# Requested JD end = 2458962.48 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 576 3 2 ZTF_g 1060513031015 0 3.3971 62.7218 6.0432 25.8585 6.17213e-05 0.0460133 -0.0558207 0.000133148 187 30. 0.095684 0.095318 19.6519 25.8585 1 2458815.0130324 576120110 null null null null null null null null 0.503188100518453 16.0990001678467 0.0890000015497208 6.72700023651123 0.712999999523163 2458166.905324 2458278.691134 56
 1 576 3 2 ZTF_i 1065532531015 0 1.9045 99.8329 12.3549 24.7111 2.41945e-05 0.0429386 0.171667 7.93129e-05 202 90. 0.087384 0.07753 18.2122 24.7111 2 2458820.0325347 576120310 190.506680188983 59.05320013897 3.58857124413088 1.46175043010463 533.326326289882 113.965905912497 4.71121872355906 1.03507580060656 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 2 576 3 2 ZTF_i 1065533681015 0 1.5506 105.191 12.4222 24.7483 2.38474e-05 0.0445495 0.178532 8.27077e-05 216 90. 0.084317 0.073476 18.3776 24.7483 2 2458820.0336806 576120310 30.7032304948862 55.9926845487228 0.609968747483453 1.4454692470091 365.812704760638 116.185635301608 3.16972466878703 1.03232966853206 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 3 576 3 2 ZTF_i 1065534821015 0 1.527 111.227 12.4514 24.7846 2.78448e-05 0.0492861 0.180795 9.85077e-05 224 90. 0.085167 0.071174 18.4391 24.7846 2 2458820.0348264 576120310 -8.53107277204834 55.2456098054724 -0.171775284293823 1.43667822764644 -148.831524559145 116.280643689096 -1.28855421406744 1.03014981402287 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 4 576 3 2 ZTF_i 1065535971015 0 1.6697 145.27 12.3999 25.1048 1.35385e-05 0.035555 0.186906 4.99192e-05 235 90. 0.08256 0.066777 18.6895 25.1048 2 2458820.0359722 576120310 143.154514990224 62.4632799107721 2.54938288536567 1.51135093690086 539.553093356547 127.708889292289 4.2533218908532 1.02855817284253 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 5 576 3 2 ZTF_i 1074471051015 33554481 1.75 58.4756 64.3057 24.2852 0.00359371 0.157743 0.124356 0.0109845 19 90. 0.110668 0.09024 16.0083 24.2852 2 2458828.9710532 576120310 52.0546987149584 230.348186451784 0.251379547947163 1.04176060252453 -297.410202456971 450.022583926309 -0.665329447846146 1.05878488709676 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 6 576 3 2 ZTF_i 1074472191015 49 1.6536 85.9883 48.416 24.6217 0.000210322 0.0568926 0.157311 0.000693307 40 90. 0.094887 0.0925 16.6949 24.6217 2 2458828.9721991 576120310 -169.190459204985 185.242828229254 -1.01598961126294 1.08815804337914 -239.731698757651 371.204823783139 -0.65017017581302 1.05106736356212 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
 7 576 3 2 ZTF_g 1074547821015 0 3.8403 93.3789 12.5129 26.3283 8.64138e-05 0.0470632 -0.0426233 0.000192876 141 30. 0.111605 0.101925 19.2005 26.3283 1 2458829.0478241 576120110 -266.893496402683 120.511643822388 -2.46356361806829 1.15567532792615 -787.895638206445 155.065935378139 -5.11525731765002 1.13750045995759 0.503188100518453 16.0990001678467 0.0890000015497208 6.72700023651123 0.712999999523163 2458166.905324 2458278.691134 0
 8 576 3 2 ZTF_i 1076468481015 0 1.6724 644.985 15.495 26.7375 3.595e-06 0.0186719 0.183599 1.36511e-05 241 90. 0.073067 0.063949 20.0818 26.7375 2 2458830.9684838 576120310 232.639083782625 108.375944800991 2.38783648249383 2.18795395799885 1032.95935439944 218.943148447603 4.74970969612879 1.03184485230935 2.40182299439784 15.2839995956421 0.123000003397465 9.23099994659424 0.686999976634979 2458173.898692 2458283.679363 0
