Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN1667A,5/28/48,4,Milky Way,"23:23:26,23:23:27.9,23:23:22.8","+58:48,+58:48:42.0,+58:49:40.8",,IIb,1,1
SN1954A,4/10/54,9.1,NGC 4214,"12:15:45,12:15:45.800,12:15:45.8,12:15:46.09","+36:16.2,+36:16:14.00,+36:16:14.0,+36:16:05.0",0.00097,Ib,166,12
SN1962L,11/23/62,13.28,NGC 1073,"02:43:40,02:43:42.700,02:43:42.7,02:43:40.94","+01:23.9,+01:23:52.00,+01:23:52.0,+01:23:49.7",0.004,Ic,154,1
SN1964L,12/11/64,13.45,NGC 3938,"11:52:49.09,11:52:49.2,11:52:49.07,11:52:49.099,11:52:49.10","+44:07:45.4,+44:07:45.48,+44:07:45.1,+44:07:45.41","0.00263,0.0027",Ic,61,1
SN1976B,3/28/76,14.07,NGC 4402,"12:26:12.2,12:26:12.24,12:26:12.300,12:26:12.3,12:26:11.91","+13:06:41,+13:06:41.4,+13:06:46.00,+13:06:46.0,+13:06:44.8","0.00079,0.00078,0.00079",Ib,114,1
SN1982R,10/24/82,14.4,NGC 1187,"03:02:39.41,03:02:39.48,03:02:39.511,03:02:39.51","-22:51:01.0,-22:51:01.49,-22:51:01.40,-22:51:01.4,-22:51:01.5",0.0046,Ib,1,
SN1983V,11/25/83,13.5,NGC 1365,"03:33:31.63,03:33:31.661,03:33:31.66","-36:08:55.0,-36:08:54.89,-36:08:54.9","0.0055,0.0055",Ic,14,5
SN1986M,12/7/86,16.5,NGC 7499,"23:10:24,23:10:24.400,23:10:24.4,23:10:23.38","+07:35.1,+07:35:09.00,+07:35:09.0,+07:35:23.1",0.039,Ia,1,
SN1987K,7/28/87,15,NGC 4651,"12:43:41.17,12:43:41.170,10:36:15.08","+16:23:44.9,+16:23:44.92,+37:19:27.2",0.0027,IIb,1,7
SN1988L,4/30/88,16.5,NGC 5480,"14:06:21.9,14:06:21.84,14:06:21.900,14:06:21.93","+50:43:47,+50:43:47.28,+50:43:40.00,+50:43:40.0,+50:43:44.8","0.00637,0.0063",Ib,1,7
SN1988ac,12/30/88,16.5,NGC 3995,"11:57:42,11:57:42.600,11:57:42.6,11:57:42.78","+32:17.0,+32:17:02.00,+32:17:02.0,+32:17:04.8","0.010854,0.010854",Ib/c?,1,
SN1989E,2/7/89,18.6,MCG +05-32-45,"13:37:38.57,13:37:38.54,13:37:38.600,13:37:38.6","+28:48:09.4,+28:48:09.66,+28:48:09.00,+28:48:09.0,+28:48:09.7",0.027,Ib,1,
SN1990B,1/20/90,14.5,NGC 4568,"12:36:33.86,12:36:33.84,12:36:33.83,12:36:33.869,12:36:33.87","+11:14:29.9,+11:14:29.76,+11:14:29.83,+11:14:30.08,+11:14:30.1,+11:14:29.8","0.00744,0.0075",Ic,180,22
SN1990U,8/2/90,16,NGC 7479,"23:04:54.96,23:04:54.92,23:04:54.919","+12:18:20.1,+12:18:20.09",0.007935,Ib,1,20
SN1990W,8/19/90,15,NGC 6221,"16:52:47.17,16:52:47.18,16:52:47.249,16:52:47.25","-59:12:55.0,-59:12:55.02,-59:12:55.12,-59:12:55.1",0.0049,Ib/c,1,2
SN1990aa,9/4/90,17,MCG +05-03-16,"00:52:54,00:52:54.900,00:52:54.9,00:52:59.22","+29:01.1,+29:01:09.00,+29:01:09.0,+29:01:48.3",0.017,Ic,1,7
SN1990ai,11/26/90,19.5,,"07:20:10.37,07:20:10.390,07:20:10.39","+21:54:19.9,+21:54:19.94,+21:54:20.02,+21:54:20.0",,Ib/c,1,
SN1990aj,12/18/90,18,NGC 1640,"04:42:15.30,04:42:15.31,04:42:15.310","-20:25:17.9,-20:25:18.0,-20:25:18.01",0.005344,Ia/c,1,4
SN1991A,1/1/91,18,IC 2973,"11:53:52,11:53:53.000,11:53:53.0,11:53:53.21","+33:21.7,+33:21:44.00,+33:21:44.0,+33:21:45.2",0.011,Ic,1,12
SN1991D,2/6/91,16.82,PGC 84044,"13:41:13.58,13:41:13.60,13:41:13.600,13:41:13.6","-14:38:47.6,-14:38:47.0,-14:38:48.00,-14:38:48.0",0.042,Ib,18,5
SN1991L,2/24/91,18,MCG +07-34-134,"16:41:14.99,16:41:15.12,16:41:14.96,16:41:15.029,16:41:15.03","+39:17:32.0,+39:17:32.64,+39:17:32.44,+39:17:32.60,+39:17:32.6,+39:17:32.4","0.03054,0.031",Ib/c,1,2
SN1991N,3/29/91,13.9,NGC 3310,"10:38:46.38,10:38:46.37,10:38:46.370","+53:30:05.0,+53:30:04.74,+53:30:04.72,+53:30:04.7",0.0033,Ic,12,9
SN1991R,4/9/91,18,A155453+1900,"15:54:53.47,15:54:53.530,15:54:53.53","+19:00:43.7,+19:00:43.68,+19:00:43.88,+19:00:43.9",0.035,Ib/c,1,
SN1991ar,9/2/91,17,IC 49,"00:43:56.71,00:43:56.68,00:43:56.719,00:43:56.72","+01:51:13.5,+01:51:13.54,+01:51:13.39,+01:51:13.4",0.015,Ib,1,3
SN1991K,12/15/91,16.5,NGC 2851,"09:20:30.37,09:20:30.44,09:20:30.461,09:20:30.46","-16:30:01.9,-16:30:02.39,-16:30:01.80,-16:30:01.8,-16:30:02.4","0.017,0.017",Ia,1,6
SN1992bu,3/9/92,16.6,NGC 3690,"11:28:31.5,11:28:31.4,11:28:31.500,11:28:31.50,11:28:31.40","+58:33:38,+58:33:38.99,+58:33:39.0,+58:33:38.0",0.01,Ib/c?,1,
SN1993J,3/28/93,9.91,NGC 3031,"09:55:24.7747,09:55:24.95,09:55:25.001,09:55:25.00","+69:01:13.702,+69:01:13.38,+69:01:13.01,+69:01:13.0,+69:01:13.4",-0.000113,IIb,1838,100
SN1993P,5/18/93,17.5,A132925-3024,"13:29:25.86,13:29:25.8,13:29:25.800,13:29:25.80","-30:24:47.6,-30:24:47,-30:24:47.02,-30:24:47.0",0.048,Ic,1,
SN1994ai,12/20/94,17,NGC 908,"02:23:06.17,02:23:06.170","-21:14:09.3,-21:13:58.3,-21:13:58.30",0.0057,Ic,1,1
SN1996D,2/9/96,18.2,NGC 1614,"04:34:00.30,04:34:00.300","-08:34:44.0,-08:34:43.98",0.0151,Ic,1,1
SN1996N,3/12/96,16,NGC 1398,"03:38:55.37,03:38:55.31,03:38:55.310","-26:20:04.0,-26:20:04.1,-26:20:04.09",0.0047,Ib,13,
SN1996aq,8/17/96,15.7,NGC 5584,"14:22:22.72,14:22:22.8,14:22:22.730,14:22:22.73","-00:23:23.8,-00:23:24,-00:23:24.29,-00:23:24.3","0.00553,0.0055,0.0056",Ic,1,3
SN1996at,9/15/96,20.5,A010817-0058,"01:08:17.63,01:08:17.630","-00:58:25.5,-00:58:25.50",0.09,Ic,1,
SN1996cb,12/15/96,13.7,NGC 3510,"11:03:41.98,11:03:41.981","+28:54:13.7,+28:54:13.72","0.0024,0.0026,0.00086",IIb,126,29
SN1996cd,12/16/96,18.5,A075720+1112,"07:57:20.73,07:57:20.731","+11:12:23.7,+11:12:23.69","0.048,0.048",Ib/c,1,
SN1997B,1/13/97,16.6,IC 438,"05:53:01.99,05:53:02.97,05:53:02.969,05:53:01.95","-17:51:55.4,-17:52:23.5,-17:52:23.48,-17:51:55.7",0.0097,Ic,1,4
SN1997C,1/13/97,17.4,NGC 3160,"10:13:56.18,10:13:56.179","+38:49:00.5,+38:49:00.52",0.023,Ia,1,2
SN1997dc,8/5/97,18.3,NGC 7678,"23:28:28.41,23:28:28.409","+22:25:23.0,+22:25:23.02",0.012,Ib,1,2
SN1997dd,8/20/97,16.4,NGC 6060,"16:05:46.33,16:05:46.320,16:05:46.32","+21:29:14.2,+21:29:14.32,+21:29:14.3",0.015,IIb,1,2
SN1997dh,10/20/97,19,A234517-4456,"23:45:17.17,23:45:17.170","-44:56:45.1,-44:56:45.10",0.05,Ic,1,
SN1997dq,11/2/97,15,NGC 3810,"11:40:55.90,11:40:55.901","+11:28:45.7,+11:28:45.70",0.003196,Ic,1,17
SN1997ei,12/23/97,16.33,NGC 3963,"11:54:59.98,11:55:00,11:54:59.981","+58:29:26.4,+58:29:26.52,+58:29:26.41,+58:29:26.42","0.01063,0.011",Ic,11,4
SN1997ew,12/28/97,23.9,A082425+0349,"08:24:25.09,08:24:25.090","+03:49:08.0,+03:49:08.00",0.59,II/Ic,1,
SN1998T,3/3/98,13,NGC 3690,"11:28:33.14,11:28:33.16,11:28:33.161","+58:33:44.0,+58:33:43.7,+58:33:43.70",0.01,Ib,17,4
SN1998bo,4/22/98,18,ESO 185-G31,"19:57:22.55,19:57:22.550","-55:08:18.4,-55:08:18.38","0.016,0.016",Ic,1,
SN1998cv,6/24/98,17.5,ESO 237-G42,"22:09:46.29,22:09:46.289","-49:47:43.0,-49:47:43.01","0.027,0.027",Ic,1,
SN1998dt,9/1/98,16.6,NGC 945,"02:28:35.75,02:28:35.72,02:28:35.719,02:28:35.729","-10:33:00.4,-10:32:59.8,-10:32:59.78",0.0153,Ib,1,11
SN1998ey,12/5/98,16.8,NGC 7080,"21:30:00.67,21:30:00.559","+26:43:21.4,+26:43:24.20","0.016,0.016",Ic,1,6
SN1998fa,12/25/98,18,UGC 3513,"06:42:51.51,06:42:51.509","+41:25:18.9,+41:25:18.91","0.025,0.025",IIb,1,17
SN1999P,1/13/99,21.8,A104408-0049,"10:44:08.72,10:44:08.719","-00:49:04.5,-00:49:04.51","0.06,0.06",Ib/c,1,4
SN1999ah,2/13/99,20.8,A120937-0618,"12:09:37.20,12:09:37.200","-06:18:34.3,-06:18:34.31","0.08,0.08",Ic,1,
SN1999as,2/18/99,18.3,A091630+1339,"09:16:30.86,09:16:30.859","+13:39:02.2,+13:39:02.20","0.127,0.13",Ic,1,
SN1999bc,2/19/99,18.9,MCG +03-22-14,"08:28:31.08,08:28:31.080","+17:28:15.4,+17:28:15.38","0.021,0.022",Ic,1,
SN1999al,2/21/99,19.4,A111025-0726,"11:10:25.68,11:10:25.680","-07:26:37.0,-07:26:37.00","0.065,0.065",Ic,1,
SN1999ay,3/21/99,18,A144443+5855,"14:44:43.86,14:44:43.92,14:44:43.860","+58:55:42.3,+58:55:42.24,+58:55:42.31","0.04379,0.044",II,1,1
SN1999bu,4/16/99,18.7,NGC 3786,"11:39:42.50,11:39:42.499","+31:54:29.1,+31:54:29.09",0.008933,Ic,1,1
SN1999bv,4/19/99,18,MCG +10-25-14,"17:22:40.73,17:22:40.730","+60:00:12.9,+60:00:12.89",0.01866,Ia,1,3
SN1999bw,4/20/99,17.28,NGC 3198,"10:19:46.81,10:19:46.8,10:19:46.810","+45:31:35.0,+45:31:35.04,+45:31:35.00",0.00222,IIn?,15,2
SN1999cn,6/14/99,17.9,MCG +02-38-43,"15:06:45.4,15:06:46.26,15:06:46.699,15:06:46.6,15:06:46.27","+12:51:37,+12:51:09.5,+12:51:37.01,+12:51:29.0",0.0217,Ic,1,1
SN1999cz,6/21/99,16,NGC 5078,"13:19:48.53,13:19:48.530","-27:24:04.5,-27:24:04.50",0.0072,Ic,1,
SN1999cq,6/25/99,15.76,UGC 11268,"18:32:07.10,18:32:07.099","+37:36:44.3,+37:36:44.32",0.026,Ib/c,14,4
SN1999di,8/8/99,18,NGC 776,"01:59:54.86,01:59:54.859","+23:38:22.7,+23:38:22.70","0.016,0.016",Ib,1,6
SN1999dn,8/19/99,16.3,NGC 7714,"23:36:14.70,23:36:14.81,23:36:14.700","+02:09:08.8,+02:09:08.4,+02:09:08.78",0.009366,Ib,1,18
SN1999ec,10/2/99,17.8,NGC 2207,"06:16:16.16,06:16:16.18,06:16:16.159","-21:22:09.8,-21:22:10.1,-21:22:09.80",0.0092,Ia/c,1,2
SN1999eh,10/12/99,18.3,NGC 2770,"09:09:32.67,09:09:32.64,09:09:32.669","+33:07:16.9,+33:07:16.68,+33:07:16.90","0.00645,0.00645",Ib,1,1
SN2000C,1/8/00,14.5,NGC 2415,"07:36:57.09,07:36:57.11,07:36:57.089,07:36:56.99","+35:14:38.8,+35:14:39.0,+35:14:38.80,+35:14:37.2","0.013,0.012,0.013",Ic,1,3
