Title: Type Ibn Supernovae Show Photometric Homogeneity and Spectral 
       Diversity at Maximum Light
Authors: Hosseinzadeh G., Arcavi I., Valenti S., McCully C., Howell D.A.,
         Johansson J., Sollerman J., Pastorello A., Benetti S., Cao Y., 
         Cenko S.B., Clubb K.I., Corsi A., Duggan G., Elias-Rosa N., 
         Filippenko A.V., Fox O.D., Fremling C., Horesh A., Karamehmetoglu E., 
         Kasliwal M., Marion G.H., Ofek E., Sand D., Taddia F., Zheng W., 
         Fraser M., Gal-Yam A., Inserra C., Laher R., Masci F., 
         Rebbapragada U., Smartt S., Smith K.W., Sullivan M., Surace J., 
         Wozniak P.
Table: Light Curve Templates
================================================================================
Byte-by-byte Description of file: apjaa3f02t6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 F4.1   ---     Phase  Days after maximum 
   6- 11 F6.2   mag     AMag   Absolute magnitude (1)
  13- 16 F4.2   mag   e_AMag   Lower uncertainty in AMag
  18- 21 F4.2   mag   E_AMag   Upper uncertainty in AMag
  23- 26 F4.2   mag     Nmag   Normalized magnitude (1)
  28- 31 F4.2   mag   e_Nmag   Lower uncertainty in Nmag
  33- 36 F4.2   mag   E_Nmag   Upper uncertainty in Nmag
  38- 39 I2     ---     Num    Number of SN used in template (2)
--------------------------------------------------------------------------------
Note (1): The template light curves are meant to be compared 
          to R or r magnitudes.
Note (2): Results are not reported for phases where only a single supernova 
          has been observed.
--------------------------------------------------------------------------------
-8.0 -18.24 0.42 0.74 1.50 0.46 0.68  3 
-7.5 -18.39 0.42 0.71 1.36 0.44 0.66  3 
-7.0 -18.53 0.41 0.69 1.22 0.42 0.63  4 
-6.5 -18.67 0.40 0.67 1.09 0.40 0.61  6 
-6.0 -18.79 0.40 0.65 0.97 0.38 0.59  7 
-5.5 -18.91 0.39 0.63 0.85 0.36 0.57  7 
-5.0 -19.02 0.38 0.62 0.75 0.34 0.55  8 
-4.5 -19.11 0.38 0.61 0.66 0.32 0.53  8 
-4.0 -19.19 0.37 0.59 0.58 0.31 0.52  8 
-3.5 -19.26 0.37 0.58 0.51 0.29 0.50  9 
-3.0 -19.32 0.36 0.57 0.45 0.28 0.49  9 
-2.5 -19.37 0.35 0.57 0.40 0.27 0.47  9 
-2.0 -19.41 0.35 0.56 0.36 0.26 0.46 11 
-1.5 -19.44 0.34 0.55 0.33 0.25 0.45 11 
-1.0 -19.46 0.34 0.55 0.31 0.24 0.44 11 
-0.5 -19.47 0.33 0.54 0.29 0.23 0.43 11 
 0.0 -19.47 0.32 0.54 0.28 0.22 0.42 11 
 0.5 -19.46 0.32 0.54 0.28 0.21 0.41 13 
 1.0 -19.45 0.31 0.54 0.29 0.21 0.40 13 
 1.5 -19.43 0.31 0.53 0.30 0.20 0.39 13 
 2.0 -19.40 0.30 0.53 0.32 0.19 0.38 13 
 2.5 -19.37 0.30 0.53 0.35 0.19 0.38 13 
 3.0 -19.33 0.29 0.53 0.37 0.18 0.37 13 
 3.5 -19.29 0.29 0.53 0.41 0.18 0.36 13 
 4.0 -19.24 0.28 0.53 0.44 0.18 0.36 13 
 4.5 -19.19 0.28 0.53 0.48 0.17 0.35 14 
 5.0 -19.14 0.27 0.53 0.53 0.17 0.35 14 
 5.5 -19.08 0.27 0.53 0.57 0.17 0.34 14 
 6.0 -19.02 0.27 0.54 0.62 0.17 0.34 14 
 6.5 -18.96 0.26 0.54 0.67 0.17 0.34 14 
 7.0 -18.89 0.26 0.54 0.73 0.17 0.33 14 
 7.5 -18.82 0.25 0.54 0.78 0.16 0.33 14 
 8.0 -18.75 0.25 0.54 0.84 0.16 0.33 14 
 8.5 -18.68 0.25 0.55 0.90 0.16 0.33 14 
 9.0 -18.61 0.24 0.55 0.96 0.16 0.32 14 
 9.5 -18.54 0.24 0.55 1.02 0.17 0.32 15 
10.0 -18.47 0.24 0.55 1.08 0.17 0.32 16 
10.5 -18.39 0.24 0.55 1.14 0.17 0.32 16 
11.0 -18.32 0.23 0.56 1.20 0.17 0.32 16 
11.5 -18.25 0.23 0.56 1.26 0.17 0.32 16 
12.0 -18.17 0.23 0.56 1.32 0.17 0.32 16 
12.5 -18.10 0.23 0.57 1.39 0.17 0.31 16 
13.0 -18.03 0.23 0.57 1.45 0.17 0.31 16 
13.5 -17.95 0.23 0.57 1.51 0.18 0.31 16 
14.0 -17.88 0.22 0.57 1.57 0.18 0.31 16 
14.5 -17.81 0.22 0.58 1.63 0.18 0.31 16 
15.0 -17.74 0.22 0.58 1.69 0.18 0.31 16 
15.5 -17.67 0.22 0.58 1.75 0.19 0.31 16 
16.0 -17.60 0.22 0.59 1.81 0.19 0.31 17 
16.5 -17.53 0.22 0.59 1.87 0.19 0.32 17 
17.0 -17.46 0.22 0.59 1.93 0.20 0.32 17 
17.5 -17.39 0.22 0.59 1.99 0.20 0.32 17 
18.0 -17.33 0.22 0.60 2.04 0.20 0.32 17 
18.5 -17.26 0.22 0.60 2.10 0.21 0.32 16 
19.0 -17.20 0.22 0.60 2.15 0.21 0.32 16 
19.5 -17.13 0.22 0.60 2.21 0.21 0.32 14 
20.0 -17.07 0.23 0.61 2.26 0.22 0.32 14 
20.5 -17.01 0.23 0.61 2.31 0.22 0.32 14 
21.0 -16.95 0.23 0.61 2.37 0.22 0.32 13 
21.5 -16.89 0.23 0.61 2.42 0.23 0.32 13 
22.0 -16.83 0.23 0.62 2.47 0.23 0.33 12 
22.5 -16.78 0.23 0.62 2.52 0.24 0.33 11 
23.0 -16.72 0.23 0.62 2.56 0.24 0.33 11 
23.5 -16.67 0.24 0.62 2.61 0.24 0.33 11 
24.0 -16.61 0.24 0.63 2.66 0.25 0.33 11 
24.5 -16.56 0.24 0.63 2.70 0.25 0.33 11 
25.0 -16.51 0.24 0.63 2.75 0.26 0.34 11 
25.5 -16.46 0.25 0.63 2.79 0.26 0.34 11 
26.0 -16.41 0.25 0.63 2.84 0.26 0.34 11 
26.5 -16.36 0.25 0.64 2.88 0.27 0.34 11 
27.0 -16.32 0.26 0.64 2.92 0.27 0.34 11 
27.5 -16.27 0.26 0.64 2.96 0.28 0.34 11 
28.0 -16.23 0.26 0.64 3.00 0.28 0.35 11 
28.5 -16.18 0.27 0.64 3.04 0.29 0.35 11 
29.0 -16.14 0.27 0.65 3.08 0.29 0.35 11 
29.5 -16.10 0.27 0.65 3.12 0.30 0.35 10 
30.0 -16.06 0.28 0.65 3.16 0.30 0.35  9 
30.5 -16.02 0.28 0.65 3.20 0.30 0.35  9 
31.0 -15.98 0.28 0.65 3.23 0.31 0.36  9 
