index,Ep.u,Fu,e_,Ep.g,Fg,e_,Ep.r,Fr,e_,Ep.i,Fi,e_,Ep.z,Fz,e_
1,-14,0.1923,0.0459,-18,0.1201,0.0494,-18,0.0894,0.0491,-18,0.1846,0.0714,-18,0.2254,0.0796
2,-13.9,0.2099,0.0462,-17.9,0.1199,0.0494,-17.9,0.094,0.049,-17.9,0.1826,0.0687,-17.9,0.2294,0.0797
3,-13.8,0.2257,0.0468,-17.8,0.1198,0.0494,-17.8,0.0985,0.049,-17.8,0.1809,0.0662,-17.8,0.2335,0.0797
4,-13.7,0.2398,0.0474,-17.7,0.1199,0.0494,-17.7,0.103,0.0489,-17.7,0.1793,0.064,-17.7,0.2377,0.0798
5,-13.6,0.2523,0.048,-17.6,0.12,0.0493,-17.6,0.1075,0.0488,-17.6,0.178,0.0619,-17.6,0.2419,0.0798
6,-13.5,0.2634,0.0487,-17.5,0.1203,0.0493,-17.5,0.1119,0.0488,-17.5,0.1769,0.06,-17.5,0.2462,0.0798
7,-13.4,0.2732,0.0493,-17.4,0.1207,0.0493,-17.4,0.1163,0.0487,-17.4,0.176,0.0583,-17.4,0.2505,0.0799
8,-13.3,0.2818,0.0498,-17.3,0.1213,0.0493,-17.3,0.1207,0.0487,-17.3,0.1753,0.0568,-17.3,0.2549,0.0799
9,-13.2,0.2892,0.0504,-17.2,0.122,0.0493,-17.2,0.125,0.0486,-17.2,0.1749,0.0554,-17.2,0.2594,0.0799
10,-13.1,0.2956,0.0508,-17.1,0.1228,0.0493,-17.1,0.1294,0.0486,-17.1,0.1746,0.0542,-17.1,0.2639,0.0798
11,-13,0.3011,0.0512,-17,0.1237,0.0492,-17,0.1337,0.0486,-17,0.1745,0.0531,-17,0.2685,0.0798
12,-12.9,0.3057,0.0515,-16.9,0.1248,0.0492,-16.9,0.138,0.0485,-16.9,0.1747,0.0521,-16.9,0.2731,0.0797
13,-12.8,0.3096,0.0517,-16.8,0.126,0.0492,-16.8,0.1424,0.0485,-16.8,0.175,0.0513,-16.8,0.2778,0.0797
14,-12.7,0.3128,0.0519,-16.7,0.1274,0.0491,-16.7,0.1467,0.0485,-16.7,0.1756,0.0505,-16.7,0.2825,0.0796
15,-12.6,0.3155,0.052,-16.6,0.1289,0.0491,-16.6,0.1511,0.0484,-16.6,0.1763,0.0498,-16.6,0.2873,0.0795
16,-12.5,0.3175,0.052,-16.5,0.1306,0.0491,-16.5,0.1555,0.0484,-16.5,0.1773,0.0492,-16.5,0.2921,0.0794
17,-12.4,0.3191,0.052,-16.4,0.1324,0.0491,-16.4,0.1599,0.0484,-16.4,0.1784,0.0487,-16.4,0.297,0.0793
18,-12.3,0.3204,0.052,-16.3,0.1344,0.049,-16.3,0.1643,0.0483,-16.3,0.1797,0.0483,-16.3,0.302,0.0792
19,-12.2,0.3212,0.0519,-16.2,0.1364,0.049,-16.2,0.1687,0.0483,-16.2,0.1813,0.0479,-16.2,0.3069,0.0791
