CMDLINE python fitcfalc_simple.py
MEM 0.027344 1443278136.5945
MEM 5.449219 1443278136.7004
MEM 9.785156 1443278136.8109
MEM 15.011719 1443278136.9220
MEM 18.625000 1443278137.0322
MEM 22.484375 1443278137.1427
MEM 26.722656 1443278137.2553
MEM 32.132812 1443278137.3624
MEM 34.847656 1443278137.4713
MEM 42.289062 1443278137.5819
MEM 43.535156 1443278137.6917
MEM 49.324219 1443278137.7997
MEM 50.210938 1443278137.9117
MEM 50.429688 1443278138.0248
MEM 53.238281 1443278138.1387
MEM 55.847656 1443278138.2572
MEM 58.031250 1443278138.3705
MEM 60.445312 1443278138.4785
MEM 65.871094 1443278138.5870
MEM 70.160156 1443278138.6976
MEM 70.867188 1443278138.8061
MEM 71.667969 1443278138.9151
MEM 71.722656 1443278139.0261
MEM 71.722656 1443278139.1370
MEM 71.777344 1443278139.2491
MEM 71.878906 1443278139.3649
MEM 71.917969 1443278139.4733
MEM 71.917969 1443278139.5823
MEM 71.964844 1443278139.6976
MEM 71.968750 1443278139.8230
MEM 71.968750 1443278139.9326
MEM 71.972656 1443278140.0465
MEM 71.972656 1443278140.1568
MEM 71.984375 1443278140.2716
MEM 71.984375 1443278140.3819
MEM 72.101562 1443278140.4915
MEM 72.125000 1443278140.6017
MEM 72.128906 1443278140.7135
MEM 72.136719 1443278140.8316
MEM 72.132812 1443278140.9433
MEM 72.136719 1443278141.0590
MEM 72.175781 1443278141.1715
MEM 72.203125 1443278141.2880
MEM 72.203125 1443278141.4015
MEM 72.265625 1443278141.5161
MEM 72.285156 1443278141.6275
MEM 72.292969 1443278141.7371
MEM 72.292969 1443278141.8458
MEM 72.292969 1443278141.9558
MEM 72.292969 1443278142.0725
MEM 72.300781 1443278142.1889
MEM 72.300781 1443278142.3012
MEM 72.332031 1443278142.4143
MEM 72.359375 1443278142.5219
MEM 72.371094 1443278142.6348
MEM 72.375000 1443278142.7457
MEM 98.191406 1443278142.8539
MEM 110.285156 1443278142.9634
MEM 127.531250 1443278143.0794
MEM 164.847656 1443278143.2013
MEM 194.042969 1443278143.3102
MEM 251.402344 1443278143.4279
MEM 351.851562 1443278143.5463
MEM 473.339844 1443278143.7056
MEM 557.863281 1443278143.8273
MEM 638.671875 1443278143.9578
MEM 660.796875 1443278144.0825
MEM 688.695312 1443278144.1955
MEM 763.617188 1443278144.3450
MEM 767.957031 1443278144.4570
MEM 770.042969 1443278144.5710
MEM 772.824219 1443278144.7072
MEM 764.441406 1443278144.8307
MEM 841.484375 1443278144.9762
MEM 893.160156 1443278145.0878
MEM 972.777344 1443278145.2201
MEM 1050.191406 1443278145.3400
MEM 1092.753906 1443278145.4521
MEM 1136.851562 1443278145.5622
MEM 1206.308594 1443278145.6954
MEM 1245.578125 1443278146.0788
MEM 1220.675781 1443278146.1899
MEM 1268.000000 1443278146.3609
MEM 1265.722656 1443278146.4720
MEM 1335.687500 1443278146.6324
MEM 1341.718750 1443278146.7577
MEM 1379.597656 1443278146.8775
MEM 1501.140625 1443278146.9894
MEM 1488.582031 1443278147.1320
MEM 1484.218750 1443278147.2465
MEM 1484.960938 1443278147.4006
MEM 1488.308594 1443278147.5339
MEM 1507.960938 1443278147.6472
MEM 1465.984375 1443278147.8116
MEM 1467.832031 1443278147.9241
MEM 1506.839844 1443278148.0352
MEM 1545.570312 1443278148.1478
MEM 1574.167969 1443278148.2583
MEM 1597.335938 1443278148.3989
MEM 1614.351562 1443278148.5393
MEM 1636.058594 1443278148.6540
MEM 1685.914062 1443278148.7671
MEM 1739.917969 1443278148.8774
MEM 1793.789062 1443278148.9861
MEM 1854.300781 1443278149.0965
MEM 1914.128906 1443278149.2074
MEM 1435.386719 1443278149.3191
MEM 1528.960938 1443278149.4288
MEM 1671.488281 1443278149.5388
MEM 1844.867188 1443278149.6489
MEM 1707.839844 1443278149.7651
MEM 1466.273438 1443278149.8754
MEM 1554.390625 1443278149.9876
MEM 1647.359375 1443278150.0975
MEM 1746.128906 1443278150.2037
MEM 1837.660156 1443278150.3152
MEM 1918.648438 1443278150.4269
MEM 1401.742188 1443278150.5401
MEM 1451.140625 1443278150.6508
MEM 1492.714844 1443278150.7626
MEM 1530.167969 1443278150.8731
MEM 1596.289062 1443278150.9819
MEM 1754.925781 1443278151.0940
MEM 1906.375000 1443278151.2010
MEM 2038.570312 1443278151.3239
MEM 2075.703125 1443278151.5229
MEM 2065.796875 1443278151.7098
MEM 1739.917969 1443278148.8774
MEM 1793.789062 1443278148.9861
MEM 1854.300781 1443278149.0965
MEM 1914.128906 1443278149.2074
MEM 1435.386719 1443278149.3191
MEM 1528.960938 1443278149.4288
MEM 1671.488281 1443278149.5388
MEM 1844.867188 1443278149.6489
MEM 1707.839844 1443278149.7651
MEM 1466.273438 1443278149.8754
MEM 1554.390625 1443278149.9876
MEM 1647.359375 1443278150.0975
MEM 1746.128906 1443278150.2037
MEM 1837.660156 1443278150.3152
MEM 1918.648438 1443278150.4269
MEM 1401.742188 1443278150.5401
MEM 1451.140625 1443278150.6508
MEM 1492.714844 1443278150.7626
MEM 1530.167969 1443278150.8731
MEM 1596.289062 1443278150.9819
MEM 1754.925781 1443278151.0940
MEM 1906.375000 1443278151.2010
MEM 2038.570312 1443278151.3239
MEM 2075.703125 1443278151.5229
MEM 2065.796875 1443278151.7098
