"Name","Disc. Date","R.A.","Type","Phot.","Spec.","Radio","X-ray"
"SN2011fe","2011/08/24","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","Ia","2728","80","0","0"
"SN2000cx","2000/07/17","01:24:46.19,01:24:46.15","Ia Pec","1316","45","",""
"SN1999ee","1999/10/07","22:16:09.40,22:16:10.00","Ia","1169","26","",""
"SN1998bu","1998/05/09","10:46:46.01,10:46:46.03","Ia","1101","75","0",""
"SN2013dy","2013/07/10","22:18:17.60","Ia","1022","85","",""
"SN2007af","2007/03/01","14:22:21.03,14:22:21.12,14:22:21.06","Ia","976","53","",""
"SN2014J","2014/01/21","09:55:42.12,09:55:42.14","Ia","918","78","0",""
"SN2009dc","2009/04/09","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","Ia Pec","798","43","0",""
"SN2004eo","2004/09/17","20:32:54.19,20:32:54.24","Ia","776","25","",""
"SN2002bo","2002/03/09","10:18:06.51,10:18:06.52","Ia","750","65","0",""
"SN1991T","1991/04/13","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.21","Ia-91T","723","23","0",""
"SN2016dxj","2016/04/16","16:40:16.20,16:40:16.08","Ia","695","","",""
"SN2005ke","2005/11/13","03:35:04.35,03:35:04.344,03:35:4.34","Ia Pec","689","30","0",""
"SN2006X","2006/02/04","12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.92","Ia","687","85","0",""
"SN2008hv","2008/12/02","09:07:34.06,09:07:34.066,09:07:34.08","Ia","633","15","",""
"ASASSN-14lp","2014/12/09","12:45:09.10,12:45:09.12","Ia","600","27","",""
"SN2012fr","2012/10/27","03:33:35.99,03:33:36.288","Ia","594","144","0",""
"SN1994D","1994/03/07","12:34:02.395,12:34:02.37,12:34:02.45","Ia","591","76","0",""
"LSQ12gdj","2012/11/07","23:54:43.32","Ia","587","38","",""
"SN1999aa","1999/02/11","08:27:42.03","Ia Pec","583","50","",""
"SN1999by","1999/04/30","09:21:52.07,09:21:52.18","Ia Pec","573","36","0",""
"SN2005el","2005/09/25","05:11:48.76,05:11:48.768,05:11:48.72","Ia","552","17","",""
