"Name","Disc. Date","Type","Phot."
"SN2014ad","2014/03/12","BL-Ic","1"
"SN2005mm","2005/11/20","Ia","6"
"ESSENCEp434","2005/11/24","Ia","9"
"SN2005gt","2005/09/25","Ia","28"
"SN2006sg","2006/11/14","Ia","26"
"OGLE15eo","2015/08/15","Ia","60"
"SN2008fh","2008/08/30","Ia","1"
"SN2006jx","2006/10/03","Ia","25"
"SN1996bx","1996/11/18","Ia","20"
"SN2007pl","2007/11/05","Ia","1"
"SN2001eg","2001/08/29","Ia","3"
"SN2005eo","2005/09/27","Ia","33"
"SN1991K","1991/12/15","Ia","1"
"PS15cyo","2015/11/27","Ia","60"
"SN1997C","1997/01/13","Ia","1"
"SN1966J","1966/12/20","Ia","93"
"SN2010R","2010/01/15","Ia","1"
"SN2007jy","2007/09/03","Ia","2"
"SN1986M","1986/12/07","Ia","1"
"SN2007J","2007/01/15","Ia-02cx","1"
"SN1990aj","1990/12/18","Ia/c","1"
"SN1999ec","1999/10/02","Ia/c","4"
"SN2007nc","2007/10/08","Ib","23"
"SN2007kj","2007/10/02","Ib","68"
"LSQ13cum","2013/11/03","Ib","8"
"SN2012F","2012/01/04","Ib","1"
"SN2006ld","2006/10/19","Ib","173"
"SN2006ep","2006/08/30","Ib","90"
"SN1991ar","1991/09/02","Ib","1"
"SN2011fl","2011/08/22","Ib","1"
"SN2014ef","2014/12/13","Ib","1"
"SN2007go","2007/08/07","Ib","1"
"SN2012ex","2012/09/16","Ib","1"
"SN2006jo","2006/09/30","Ib","40"
"SN2010ig","2010/09/28","Ib","1"
"SN2005hg","2005/10/25","Ib","392"
"SN1999di","1999/08/08","Ib","1"
"SN2002jv","2002/12/06","Ib","1"
"SN2004ew","2004/10/08","Ib","1"
"SN2004gv","2004/12/13","Ib","16"
"SN2006lt","2006/10/11","Ib","1"
"DES16X2bvf","2016/09/25","Ib","1"
"PS15dow","2015/12/28","Ib",""
"ESSENCEc022","2003/01/04","Ib",""
"SN2004eh","2004/09/08","Ib","1"
"SN2006F","2006/01/11","Ib","67"
"SN1998dt","1998/09/01","Ib","3"
"ESSENCEm010","2005/10/05","Ib",""
"ESSENCEe141","2003/11/22","Ib",""
"SN2006fo","2006/09/16","Ib","288"
"SN1984L","1984/08/28","Ib","25"
"SN2009ha","2009/07/02","Ib","1"
"SN2001fw","2001/11/11","Ib","1"
"SN2009iz","2009/09/19","Ib","234"
"SN2007ke","2007/09/24","Ib","25"
"SN2007Y","2007/02/15","Ib","83"
"SN1982R","1982/10/24","Ib","1"
"SN2007gl","2007/08/03","Ib","58"
"SN2010ln","2010/12/25","Ib","1"
"SN1996N","1996/03/12","Ib","13"
"CSS121204:033907-064917","2012/12/04","Ib","1"
"SN2014df","2014/06/03","Ib","1"
"LSQ14gac","2014/10/23","Ib","1"
"SN2005mn","2005/11/23","Ib","12"
"SN2013hd","2013/12/02","Ib","1"
"SN2008im","2008/12/26","Ib","1"
"SN2016jev","2016/12/28","Ib","42"
"SN2002jz","2002/12/23","Ib","8"
"OGLE-2014-SN-014","2014/02/05","Ib","34"
"SN2001B","2001/01/03","Ib","41"
"SN2014ei","2014/11/05","Ib","1"
"SN2004gq","2004/12/11","Ib","88"
"SN2016jag","2016/12/23","Ib","16"
"SN2001is","2001/12/22","Ib","7"
"SN2000dt","2000/10/13","Ib","9"
"SN2006li","2006/10/28","Ib","1"
"SN2011ii","2011/11/15","Ib","1"
"SN2001ej","2001/09/17","Ib","36"
"SN2017wj","2017/01/29","Ib","1"
"SN2011gh","2011/09/19","Ib","1"
"SN2008bs","2008/04/08","Ib","1"
"SN2000fn","2000/12/17","Ib","3"
"PSN J08123984-7953078","2015/12/26","Ib","1"
"LSQ12axx","2012/03/08","Ib","1"
"CSS141028:081814+044553","2014/10/28","Ib","1"
"SN2014dp","2014/09/28","Ib","1"
"SN2007az","2007/03/06","Ib","1"
"SN2003bp","2003/03/06","Ib","5"
"SN2016bll","2016/03/31","Ib","13"
"PTF10hcw","2010/05/14","Ib","1"
"SN2000dv","2000/10/17","Ib","3"
"SN2015Y","2015/04/11","Ib","24"
"SN1995F","1995/02/14","Ib","6"
"PS1-14qg","2014/02/27","Ib","2"
"SN2008D","2008/01/11","Ib","443"
"SN1999eh","1999/10/12","Ib","1"
"SN2000ds","2000/10/10","Ib","5"
"SN1972R","1972/12/05","Ib","76"
"SN2008ht","2008/11/23","Ib","1"
"SN2003I","2003/01/09","Ib","2"
"SN2007ag","2007/03/07","Ib","38"
"SN2006gi","2006/09/18","Ib","158"
"SN2016aws","2016/03/06","Ib","17"
"SN2005bf","2005/04/05","Ib","550"
"SN2004bs","2004/05/16","Ib","1"
"SN2005O","2005/01/16","Ib","1"
"SN2010cn","2010/05/04","Ib","28"
"SN2011bp","2011/04/06","Ib","1"
"SN2005ar","2005/03/10","Ib","1"
"SN2005C","2005/01/11","Ib","1"
"SN2007br","2007/04/04","Ib","1"
"SN2016bau","2016/03/13","Ib","22"
"SN2002ji","2002/11/30","Ib","13"
"SN1998T","1998/03/03","Ib","17"
"SN2010O","2010/01/24","Ib","1"
"SN2013gl","2013/05/09","Ib","1"
"SN2006lv","2006/10/28","Ib","87"
"SN2015Q","2015/06/17","Ib","12"
"MASTER OT J120451.50+265946.6","2014/10/28","Ib","4"
"SN2017hl","2017/01/09","Ib","2"
"SN1954A","1954/04/10","Ib","166"
"SN2011am","2011/02/27","Ib","60"
"SNhunt181","2013/04/06","Ib","1"
"SN2000de","2000/08/10","Ib","5"
"SN1976B","1976/03/28","Ib","114"
"SN2016cdd","2016/05/14","Ib","2"
"SN2004cc","2004/06/10","Ib","1"
"SN2005cz","2005/07/17","Ib","1"
"SNF20080324-000","2008/03/24","Ib","1"
"SN1985F","1985/02/28","Ib","38"
"SN1990I","1990/04/29","Ib","100"
"SN1997X","1997/02/01","Ib","20"
"SN2016bke","2016/03/20","Ib","13"
"SN2017dgy","2017/04/20","Ib","9"
"SN2012au","2012/03/14","Ib","1"
"ASASSN-14ms","2014/12/26","Ib","1"
"SN2007C","2007/01/07","Ib","260"
"PTF11qcj","2010/05/02","Ib","99"
"SN2016bir","2016/03/18","Ib","13"
"SN1984I","1984/05/10","Ib","43"
"SN2016jdw","2016/12/29","Ib","10"
"SN1998cc","1998/05/15","Ib","4"
"SN1983N","1983/07/03","Ib","89"
"SN1989E","1989/02/07","Ib","1"
"PTF09awk","2009/01/01","Ib",""
"SN1991D","1991/02/06","Ib","18"
"SN2001ai","2001/03/28","Ib","7"
"PTF12bwq","2012/03/22","Ib","1"
"PTF11izq","2011/07/26","Ib","1"
"SN2012bk","2012/03/25","Ib","1"
"ASASSN-15mj","2015/07/12","Ib","1"
"SN2017ewx","2017/06/20","Ib","2"
"SN1988L","1988/04/30","Ib","1"
"MASTER OT J141023.42-431843.7","2015/12/15","Ib","1"
"CSS140222:141104+253050","2014/02/22","Ib","3"
"SN2006cb","2006/05/05","Ib","18"
"PS1-10jb","2010","Ib",""
"SN2009hu","2009/06/25","Ib","1"
"SN2009cf","2009/03/02","Ib","1"
"SN2002dg","2002/05/31","Ib","2"
"SN2011dc","2011/05/14","Ib","1"
"iPTF13bvn","2013/06/16","Ib","678"
"SN2011br","2011/04/09","Ib","1"
"SN2009ef","2009/03/23","Ib","1"
"SNF20080610-004","2008/06/10","Ib","1"
"LSQ14cnl","2014/06/18","Ib","1"
"SN2016bkj","2016/03/20","Ib","9"
"SN2012dp","2012/06/16","Ib","1"
"SN2004dk","2004/08/01","Ib","87"
"SN2011gd","2011/08/28","Ib","1"
"SN2017bgu","2017/02/22","Ib","2"
"PS15ays","2015/06/27","Ib","1"
"SN2017cxz","2017/04/09","Ib","16"
"PTF11kaa","2011/08/03","Ib","1"
"SN2004ao","2004/03/07","Ib","106"
"SN2011ft","2011/08/30","Ib","1"
"SN2012ek","2012/08/18","Ib","1"
"SN2016ajo","2016/02/20","Ib","2"
"SN2002cw","2002/05/16","Ib","2"
"SN2012dx","2012/07/26","Ib","1"
"SNF20080703-002","2008/07/03","Ib","1"
"ASASSN-15ta","2015/11/14","Ib","1"
"SN2005hl","2005/09/12","Ib","48"
"SN2013ek","2013/07/24","Ib","7"
"Gaia15acs","2015/02/22","Ib","9"
"PS15bhi","2015/07/14","Ib","13"
